text,n,tweet_url
"Social workers in England braced for surge in referrals of vulnerable children when schools re-open, due to abuse going unnoticed during lockdown. Sure to apply here too. Got a concern? Say something.  https://t.co/eInIuOtulu 
#KeepKidsSafeC19 #Covid19
https://t.co/sbXlqbQ2ej",3,https://twitter.com/childprotectsco/status/1258095995394691072
Ten trade unions representing around one million teachers across the UK and Ireland have written a joint letter to education ministers urging “significant caution in any consideration of re-opening schools”: https://t.co/MIntjOIMQM @NEUnion @NASUWT @PatrickR_NASUWT #coronavirusuk,3,https://twitter.com/SecEd_Education/status/1258289713225650177
"""We didn't want to shut schools and colleges"".

@MattHancock says the UK ""really had to"" shut schools and colleges because they ""help to spread"" #COVID19, adding the govt is considering when they can reopen.

Follow live: https://t.co/zZI4u37FbY #AskTheHealthSecretary https://t.co/6gIffFsqtn",3,https://twitter.com/SkyNews/status/1257970743192813568
Ten trade unions representing around one million teachers across the UK and Ireland have written a joint letter to education ministers urging “significant caution in any consideration of re-opening schools”: https://t.co/vO1WRG568h @NEUnion @NASUWT @PatrickR_NASUWT #coronavirusuk,3,https://twitter.com/HeadteacherNews/status/1258285064825290753
"It's difficult for teachers and parents to explain the current pandemic to young children.

We've put together our tips on how to address the subject in a safe and supportive manner: https://t.co/IvAquG8lG5

#education #covid19 #teachers #parents",3,https://twitter.com/TrueEducation_P/status/1258335525649494016
Teachers: why we won't be rushed back to school https://t.co/hkIG8gAzwY #coronavirus #COVID19 #schoolsreopening #NEU,3,https://twitter.com/counterfireorg/status/1258322014496083972
"There was a meeting with teachers of Islamic Almajiri schools in the state to let them know why the decision was taken.

Primary to tertiary institutions are closed in the country as part of measures to reduce the spread of Coronavirus.

Almajiri schools cannot be an exception.",3,https://twitter.com/DrOlufunmilayo/status/1257955878193463296
"New @EducEndowFoundn School closure support resources added today...
https://t.co/CZzM6zHjQk",3,https://twitter.com/LorwynRandall/status/1258318219196104709
"There's a day of action today to say, 'no return to unsafe workplaces'. Socially-distanced actions could include cavalcades to hospitals and protests against possible moves to reopen primary schools #ExtendTheLockdown #ReturningToWork #coronavirus #COVID19 https://t.co/yYWR9q5kPv https://t.co/aIySFwfSu6",3,https://twitter.com/socialistworker/status/1258317605657612288
"While we are doing all we can to support the wellbeing of our young people during the school closures, we must not forget our teachers. From financial grants to mental health support, @EdSupportUK advises : https://t.co/ceGnEWzkIH #schoolclosureuk #mentalhealth",3,https://twitter.com/HeadteacherNews/status/1258289832209588224
"#Iceland has almost eliminated the new #coronavirus.

It must have had one hell of a lockdown!

Well, no. Actually, schools remain open.

As ever, this excellent outcome is predominantly to do with *TESTING*.

https://t.co/21D77vUWsc",3,https://twitter.com/ianjamesparsley/status/1258159593286492168
"No date planned for schools to reopen, says Weir as he hints at phased return. Jacquie White @UTU_edu was the only N.I. signatory in the letter, which warned of a risk that transmission rates might spike if schools are opened prematurely.  https://t.co/86gS3XoNji",3,https://twitter.com/UTU_edu/status/1258309924389519362
Revealed: Boris Johnson's - #BorisTheButcher worst ever leader of the UK roadmap to ease lockdown and reopen schools and shops https://t.co/sARSZvz5rv,3,https://twitter.com/ChrisKeelty/status/1258259205959684096
Trump advises teachers over 60 to not teach in-person ‘for awhile’ as he implores schools to reopen https://t.co/q2aoux3dVp,3,https://twitter.com/Independent/status/1258190224334692352
"Emmanuel Macron ploughs ahead with controversial plan to reopen schools despite warnings
https://t.co/caa9QQ87cP https://t.co/nD6OxWnyT6",3,https://twitter.com/Daily_Express/status/1258013897623289856
Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/UpaNXi4RZM,3,https://twitter.com/DrAishaKGill/status/1258061386145574913
"Fully reopening primary schools in Scotland would ""most likely"" see the NHS overwhelmed by coronavirus within two months, Nicola Sturgeon has warned. https://t.co/71ZRAUf9wc",3,https://twitter.com/bbcdebatenight/status/1258152386138460162
"US schools should plan for phased reopening and more closures later, say experts https://t.co/lePQ6MV88Z",3,https://twitter.com/Independent/status/1258075035702525955
"Exclusive: Exam group @Cam_Assessment advises @educationgovuk that years 10, 12 and five should be prioritised when schools start to return https://t.co/o8GAffirkV",3,https://twitter.com/tes/status/1258068538541117440
"Are you a teacher or a parent in the UK?  Is your or your child's school closed? 
 
Please help us to understand what schools are doing to support homeschooling and what you think about it by filling out this survey
 
https://t.co/AVziuPSbXE

#homeschooling #coronavirus #covid19 https://t.co/sm8nLUw2Ac",2,https://twitter.com/Sussex_Psych/status/1257972592981483520
"Any decision needs to be UK wide, and only when safe to do. Why open schools and make children vectors? #coronavirus #schoolsreopening #notherdimmunity https://t.co/ycj7maQPAd",2,https://twitter.com/IanBlakemore8/status/1257711598153728000
"Powys Teaching Health Board has published an open letter of thanks to teachers, schools, childcare staff and @PowysCC @powyssch colleagues for their work during Coronavirus 

https://t.co/egrnZ9leVa

#StayHomeSaveLives https://t.co/9SqDRPSGYw",2,https://twitter.com/NHSAdrianO/status/1258311549220945923
"Prime MInister Boris Johnson has said the UK is now past the peak of the coronavirus pandemic. 

He adds he will next week set out a plan for how the restart the economy, how schools will resume and offices reopen. https://t.co/hh9f0pmA6X",2,https://twitter.com/itvnews/status/1255892249713561600
"The #lockdown lottery: thousands of children are logging out of home #education.

But is hapless John Swinney, in thrall to defeatist unions, really the minister to guide us out of the crisis? #Covid-19 #coronavirus #SNP #schools 

Read more here: https://t.co/e2JYmhZHZR https://t.co/AP1PNHPrwP",2,https://twitter.com/GrahamGGrant/status/1257579249709584392
"The Coronavirus is affecting all aspects of the education sector. As soon as the science allows, we must look at how best to not only return schools, but also ensure that no child is left behind.

My interview with @skynews👇 https://t.co/VbeCjIhp9Q",2,https://twitter.com/halfon4harlowMP/status/1258345556071645184
"New Studies Add to Evidence that Children May Transmit the Coronavirus

Experts said the new data suggest that cases could soar in many U.S. communities if schools reopen soon.

https://t.co/DsDC122wWT",2,https://twitter.com/KelvinBSP/status/1257963169143828481
"The @educationgovuk today highlighted the importance of a trauma informed approach in schools, when the children do return. This is something #Cornwall's schools been working on. For resources and info, please visit https://t.co/IYlGpol3Ry https://t.co/AVyPsOxDtV",2,https://twitter.com/TFFCornwall/status/1258050892642869248
Wuhan schools put folding plastic screens on students' desks to prevent virus @GoodSchoolsUK https://t.co/ua0oqstehk via @MailOnline,2,https://twitter.com/SianGriffiths6/status/1258291652994707457
"Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/vx5rftMbrx
Long term sustainable funding solutions are needed for Local Government @cipfa this is a worrying illustration of long term funding issues",2,https://twitter.com/joannepittcipfa/status/1257971743706222592
"There are pages and pages of it. Anonymous case studies, mainly. You might find it reassuring to see that these schools are just doing what you are all doing - the best you can in the circumstances. https://t.co/FmrZlFAjPy",2,https://twitter.com/SchoolDuggery/status/1257976745229193216
"Local authorities brace for a surge in child protection referrals when schools re-open again 

https://t.co/C3h2p8WRXv",2,https://twitter.com/SWU_UK/status/1258036928521342976
"Take a look at our interview with childhood bereavement charity, @winstonswish on how school leaders can support pupils who are bereaved or facing bereavement due to the coronavirus pandemic - 

https://t.co/H5IuMzO67u

#schools #education #schoolsupport #bereavement https://t.co/tdtZ4aRxWK",2,https://twitter.com/_theschoolbus/status/1257987269409062912
Coronavirus: NHS workers call for schools to stay closed | Tes #SheffActionCom ⁦@NEUSheffield⁩ @council_trades https://t.co/tCu2uqwTHJ,2,https://twitter.com/MurchSimonNEU/status/1257933288972390402
"Schools will have a phased re-opening following the coronavirus shutdown. Reports suggest this may start in June.

https://t.co/gUmrkENdq0",2,https://twitter.com/Telegraph/status/1258351541809004544
"Coronavirus Daily Debate 3⃣2⃣ 6 May 2020

90% of children globally are currently learning from home, lots using digital tools. 

When Coronavirus has passed, and schools reopen, do you think more learning should be done digitally? 🔽🔽

https://t.co/9cEF0iMztH https://t.co/Ax9OndRS74",2,https://twitter.com/SSCCTY/status/1257926314042052608
"Schools shut, exams cancelled, restrictions on where you can go and who you can see - how are young people coping during the coronavirus crisis?

We want to hear from 11-18 year olds about their unique experiences in this strange and uncertain time.

👉 https://t.co/GsgSVQaT9r https://t.co/bdcmNXLoJk",2,https://twitter.com/BBCYoungReport/status/1257944461977554946
Coronavirus: September target for re-opening of NI schools https://t.co/eFAOXJZ7tp,2,https://twitter.com/BBCNewsNI/status/1258323472461320192
Dispatches from the future....Italy Is Reopening but Its Schools Aren’t. What’s a Parent to Do? https://t.co/HSiOtaRhpY,2,https://twitter.com/jandersonQZ/status/1258318061297434625
"What Voice would like to see before #schools and #nurseries reopen

The health, safety, and wellbeing of all those working in schools and nurseries must be paramount.  

https://t.co/T2hBPbqDQ7  #coronavirus #COVIDー19  #Covid19UK https://t.co/IL73Vmz9eR",2,https://twitter.com/Voicetheunion/status/1257941463436079105
"Britain's route out of #coronavirus lockdown is a five-stage plan staggered over the next six months, @PippaCrerar reports. 

#covid19uk #covid19 

When schools and restaurants could reopen and fans could return to football matches: https://t.co/Xd9rwSgX7Q",2,https://twitter.com/chriskitching/status/1258288989209071616
"Live updates: No date set for reopening Northern Ireland's schools, says Education Minister Weir #coronavirus #COVID19 
https://t.co/NQ6LchlpU4 https://t.co/szCg8nYCWx",2,https://twitter.com/BelTel/status/1258059415967727617
BREAKING NEWS: No guarantee NI schools will reopen in September says Education Minister Peter Weir. https://t.co/oWkZ0sA2NT,2,https://twitter.com/News_Letter/status/1258064111306407936
BBC News - Coronavirus: September target for re-opening of NI schools https://t.co/FAOLO4VXsJ,2,https://twitter.com/EFCCG/status/1258323867690577920
BBC News - Coronavirus schools return: Can you really keep children 2m apart? https://t.co/M6y34dOGUo,2,https://twitter.com/RaeSnape/status/1258113481011838976
Schools may remain closed 'until September' over coronavirus second wave fears https://t.co/DCzyQ88aVy https://t.co/x40bnQgHXb,2,https://twitter.com/dailystar/status/1258152307931459584
"#Coronavirus: Education ministers warned by unions not to open schools prematurely - Jacquie White, @UTU_edu was the only Northern Ireland signatory in the letter, which warned of a risk transmission rates might spike if schools are opened prematurely https://t.co/EoFIZgHVfJ",2,https://twitter.com/UTU_edu/status/1257782089845440512
"https://t.co/qPMDHvKng9
There should be no inspection of remote on-line learning during this crisis. Schools have moved mountains to get on-line learning up and running in a very short space of time. Give us credit, give us space and give us a break. Ofsted twiddle your thumbs.",2,https://twitter.com/StBartsTrust/status/1257352386315800583
Are your children eligible for Free School Meals? Didn’t receive the Local Authority grant for the first four weeks of school closure? It’s not too late to apply 👉🏼 https://t.co/2BCHvpjsTq,2,https://twitter.com/OldMoatPS/status/1258304338507767808
"If schools reopened in the UK in June, would you send your child or wait until September? 

(Please RT poll and share your opinion with a comment if you like)

#COVID19 #coronavirusuk #coronavirus",2,https://twitter.com/twinningmum/status/1257968208516198401
"In order to award this summer’s GCSEs &amp; A levels, schools &amp; teachers are being asked both to grade &amp; rank their students in each subject. @Tom_Middlehurst in @SecEd_Education looks at why the ranking may be more important than the grading itself: https://t.co/Z8sCJW4zWO @ssat",2,https://twitter.com/SecEd_Education/status/1257983948778377216
"Teachers won't need PPE when schools return, says minister https://t.co/UbregdmcyU",2,https://twitter.com/EveningStandard/status/1258298686725066752
".@HC3S6 continues to work alongside colleagues in schools, to ensure that vulnerable and key worker children receive nutritious meals during the Coronavirus pandemic

https://t.co/HkYmQUbpno https://t.co/CjxBxBInPA",2,https://twitter.com/hantsconnect/status/1258038558729752582
"Sweden Bucked Conventional Wisdom, and Other Countries Are Following. No lockdown, no shuttered businesses or elementary schools, no stay-at-home. And no disaster, either. https://t.co/V2d3nEBBT7",1,https://twitter.com/RoyEacups/status/1257791169771208710
https://t.co/C3h2p8WRXv,1,https://twitter.com/SWU_UK/status/1257983030054002688
https://t.co/sxsEglmr9R,1,https://twitter.com/LollysMum1/status/1258108660686913538
"“What role will design play in helping schools to manage a phased post-Covid return of pupils?” asks the AJ’s Richard Waite. @penoyreprasad's @MarkRoweLondon joins the conversation – read the full article in today’s @ArchitectsJrnal: https://t.co/yAIlw7fBlr
@Waitey",1,https://twitter.com/penoyreprasad/status/1258327296328347650
"We have free online children's recycling resources, now tailored for at home teaching during the Coronavirus outbreak.

Visit our dedicated children's resource web page for more information: https://t.co/wrIVs3ZZMV #Recycle #LoveMK https://t.co/dxD1og6MwS",1,https://twitter.com/mkcouncil/status/1258342077143879681
"Ten teacher unions across the UK and Ireland have written to the education ministers in England, Wales, Scotland, Northern Ireland and the Republic warning against a rush to reopen schools https://t.co/nS6VYGHkLM @theipaper",1,https://twitter.com/whazell/status/1257633067042299904
