text,n,tweet_url
"Exc: WhatsApp users are spreading details of Ireland’s exit strategy...but claiming them as UK government advice. 

The messages imply lockdown will effectively end in August, with bars, schools and swimming pools reopened.
https://t.co/CtgewFvxxp",15,https://twitter.com/martinjbcoulter/status/1257998035805765632
Coronavirus: Reopening Scottish schools too early could 'overwhelm' NHS - BBC News ⁦@MaryBoustedNEU⁩ ⁦@cyclingkev⁩ ⁦@NEUnion⁩  https://t.co/aVkDRrzGNT,14,https://twitter.com/HertsNeu/status/1257683034314362881
Denmark's coronavirus infection rate has jumped from 0.6 to 0.9 since schools and nurseries reopened https://t.co/gcD2hoiWp5,14,https://twitter.com/TheSun/status/1256640267429580804
"Here's the latest update on arrangements for the summer:
• Schools and colleges can amend entries from today until 15 May.
• Students in Year 10 and below who had been entered for exams this summer will be eligible to receive calculated grades.
More info https://t.co/RWD0OOfFtn https://t.co/O3v3YrIMut",14,https://twitter.com/AQA/status/1257674845489434624
"""We could see thousands of children really being left behind.""

Labour MP @PutneyFleur says running summer schools for disadvantaged children when #coronavirus restrictions are eased is ""vitally important"" and ""absolutely possible to do"".

Read more: https://t.co/NiW89Hj9V6 https://t.co/diDegD8VSe",14,https://twitter.com/SkyNews/status/1256943340211376129
"""We didn't want to shut schools and colleges"".

@MattHancock says the UK ""really had to"" shut schools and colleges because they ""help to spread"" #COVID19, adding the govt is considering when they can reopen.

Follow live: https://t.co/zZI4u37FbY #AskTheHealthSecretary https://t.co/6gIffFsqtn",14,https://twitter.com/SkyNews/status/1257970743192813568
Sturgeon says Scot Govt will announce when schools go back - not Westminster https://t.co/uvMFvADlzH,14,https://twitter.com/lorraine1locked/status/1256893922917462016
Safety talks to be held tomorrow between @educationgovuk and unions including @ASCL_UK and @NEUnion as Government drafts school re-opening plans https://t.co/7HFqYL1jiw,14,https://twitter.com/tes/status/1255896435326885889
"Speaking at the Downing Street press briefing yesterday, The government's deputy chief medical officer said ensuring that young primary-age pupils are kept apart if schools reopened would be ""really tricky""
https://t.co/1WUQIXA2gn",13,https://twitter.com/tes/status/1255906050768863234
NJ high school sports spring season ‘not a viable option’ as schools will stay closed https://t.co/eXEM3jAQ5s via @NorthJersey,13,https://twitter.com/VarsityAces/status/1257344643404046339
Very pleased to see this article on re-opening schools published today - proud to work with @didjourdan and @MichaelMarmot on such an important topic @UNESCOchairGHE @IAAHglobal @NCDChild @AYPHcharity https://t.co/KmIJE9WFvg,13,https://twitter.com/NickyJGray/status/1257688470757179392
Yikes!! @Eton_College in talks to open selective schools in north of England as its head says private schools could find themselves on wrong side of history after  #coronavirus Story @thetimes https://t.co/EYPuVe4Yfu,13,https://twitter.com/SianGriffiths6/status/1256452261435318274
"If the #UK #Government rush to reopen primary #schools in June putting not just our #children at risk but also the teaching &amp; support staff in school.
Would you consider removing your child from the education system to protect them from #Coronavirus risks?",13,https://twitter.com/disruptordavies/status/1256924038405992448
"Worried Brits do not want coronavirus lockdown lifted as just one in five back reopening schools and pubs, poll reveals https://t.co/TnQASSRuAV",12,https://twitter.com/TheSun/status/1256982591242199042
"Reopening all schools at once would create a risk of the virus infection rate rising and causing a second wave, Dominic Raab has said https://t.co/h2E2orHPTD",12,https://twitter.com/thetimes/status/1258062179137392640
"Tomorrow night on Coronavirus: Scotland's Response:

We'll be putting your questions to Education Secretary @JohnSwinney MSP.

Got a question about schools you'd like us to ask him?
Tweet us below or by using the hashtag #ScotResponse 📩 https://t.co/btSX76Usep",12,https://twitter.com/BBCScotNine/status/1257634651625095171
BREAKING: Ireland extends lockdown until May 18 and schools to reopen in September  https://t.co/AENjHZ3sez https://t.co/jEexntduYK,12,https://twitter.com/TheSun/status/1256287128402776064
"Coronavirus: Make it clear WHY pupils are returning, and 7 other demands from headteachers https://t.co/Gg9tkwvhVY @ASCL_UK",12,https://twitter.com/SchoolsWeek/status/1257329554340839425
Editorial: The least Britain can do during the pandemic is feed the children who have been plunged into poverty https://t.co/OkXz77M0Fg,12,https://twitter.com/Independent/status/1257263925093183491
Primary schools 'will go back on JUNE 1 as coronavirus lockdown is lifted https://t.co/qsAfYFoYAQ,12,https://twitter.com/DailyMailUK/status/1257010800771780609
Reopening schools poses ‘significant risk of second wave of coronavirus outbreak’ https://t.co/caWdFDUC7W,12,https://twitter.com/TheSun/status/1256021280354156544
The Prime Minister is expected to unveil the Government’s “roadmap” out of the coronavirus lockdown in an address to the nation next Sunday https://t.co/T5wRB6c7tj,12,https://twitter.com/Telegraph/status/1256848634714427392
Children as likely to get infected by coronavirus as adults ... new study shows. Will this mean school openings are delayed? Story @thetimes https://t.co/TK6y4mFR1F,12,
"“It’s almost inconceivable that all pupils will be back before the summer holidays. I honestly can’t see that being possible”

@scotgov Deputy First Minister @JohnSwinney speaks to @rjcurran2 about when Scotland’s schools could return after the coronavirus pandemic. #ScotResponse https://t.co/8HWUYRdbOs",12,https://twitter.com/BBCScotNine/status/1258124471992549378
"The General Secretary of the Ulster Teachers’ Union #UTU, Jacquie White, was interviewed this evening on UTV Live. She warned about the reopening of schools prematurely causing the risk of a spike in the transmission of coronavirus. https://t.co/8y9F05V6d3",12,https://twitter.com/UTU_edu/status/1257769371092598787
