,trigram,n
8596,talks potential risk,24
3421,heads call kinder,24
826,catch cokes woolies,24
4113,kinder school system,24
8553,system post covid,24
829,catch school catch,24
3660,human stuff matters,24
1200,cokes woolies close,24
2045,demands headteachers ascl_uk,24
5792,plan next week,24
7159,school system post,24
9773,woolies close supermarkets,24
1649,coronavirus transmission opening,24
7897,settings dont require,24
9060,transmission opening schools,24
5937,potential risk coronavirus,24
2247,dont require ppe,24
4696,matters heads call,24
8394,stuff matters heads,24
7284,schools downingstreet briefing,24
1116,close supermarkets schools,24
733,call kinder school,24
2216,dominicraab talks potential,24
5432,opening schools downingstreet,24
135,advice staff nonresidential,24
2116,didn catch school,24
7082,school catch cokes,24
6846,risk coronavirus transmission,24
6648,reopening schools would,24
645,breaking dominicraab talks,24
1169,closure nearly schools,23
5475,organisation whose funding,23
1674,coronavirusrelated measures worldwide,23
7005,save british council,23
2808,fight future organisation,23
5676,pcs launched save,23
5000,nearly schools due,23
1724,council campaign fight,23
9728,whose funding cut,23
2308,due coronavirusrelated measures,23
3065,future organisation whose,23
1490,coronavirus infection rate,23
1907,cut closure nearly,23
754,campaign fight future,23
7285,schools due coronavirusrelated,23
4760,measures worldwide savebritishcouncil,23
4182,launched save british,23
3056,funding cut closure,23
678,british council campaign,23
3063,fury former schools,22
5207,nicola sturgeon says,22
2861,first minister says,22
9169,uk ireland written,22
7587,schools stay closed,22
9848,workplaces place months,21
8776,th may results,21
5820,plans workplaces place,21
2521,england could reopen,21
256,andrew_adonis suggestion ofstednews,21
6010,primary schools england,21
2189,distancing plans workplaces,21
6517,reopen june reports,21
6301,rate online learning,21
6332,react fury former,21
8649,teachers react fury,21
5364,online learning provision,21
5778,place months tomorrowspaperstoday,21
2973,framework decision making,21
3277,government told industry,21
1447,coronavirus distancing plans,21
7299,schools england could,21
8415,suggestion ofstednews intervene,21
3347,groups new coronavirus,21
4771,medical officer said,21
4833,minister andrew_adonis suggestion,21
8986,told industry groups,21
3858,intervene rate online,21
5097,new coronavirus distancing,21
3762,industry groups new,21
