,trigram,n
475,day street parties,6
2034,statistics tomorrow parents,6
41,aids crisis thing,6
343,coronavirus deaths wales,6
488,deaths wales follow,6
2185,thanks teachers schools,6
2296,understanding aids crisis,6
2026,staff powyscc powyssch,6
2294,un déconfinement plus,6
2268,uclan launched online,6
2485,would think coronavirus,6
134,better understanding aids,6
383,coronavirus schools return,6
2354,vague les britanniques,6
368,coronavirus pandemic differently,6
2139,teachers across uk,6
403,cos sure aint,6
2236,tomorrow parents coronavirus,6
2107,sure aint taught,6
2099,support personnel crisis,6
2246,trade unions representing,6
205,caution consideration reopening,6
2097,support hub frontlineworkers,6
117,bbcnews we ll,6
2095,support frontline nhs,6
2442,work coronavirus stayhomesavelives,6
2399,we ll releasing,6
2308,unions representing around,6
428,covid19 live page,6
74,around one million,6
2297,une deuxième vague,6
2391,warning day street,6
2152,teachers schools childcare,6
294,colleagues work coronavirus,6
444,crisis please rt,6
263,city pandemic began,6
2164,teaching health board,6
446,crisis thing vast,6
2355,vast majority dont,6
2170,ten trade unions,6
2113,survey parents coronavirus,6
290,closures mentioned bbcnews,6
529,distancing schools worry,6
313,consideration reopening schools,6
520,differently better understanding,6
542,dont queers make,6
113,bbc news coronavirus,6
2199,think majority straight,6
2492,written joint letter,6
189,care home workers,6
226,childcare staff powyscc,6
2194,thing vast majority,6
161,britanniques se préparent,6
510,deuxième vague les,6
2196,think coronavirus pandemic,6
1745,school closures must,5
274,closed september coronavirus,5
2401,webinars may help,5
1297,online webinars may,5
212,cep_lse study found,5
886,hours per week,5
420,course scottish govt,5
2507,young people school,5
3,absent around opening,5
795,government published guidance,5
1046,like nhs education,5
817,guidance social distancing,5
698,find remoteteaching prisci,5
2446,work well two,5
1034,letter warned risk,5
2345,used ncpta supported,5
2253,transmission rates might,5
695,financial grants mental,5
75,around opening schools,5
214,challenges find remoteteaching,5
706,five tests wrote,5
1308,opening schools ase,5
1018,learning schools reopen,5
2130,target reopening ni,5
2412,well two additional,5
1630,require ppe robert,5
539,donating local schools,5
797,govt announce schools,5
2104,support wellbeing young,5
2242,total control education,5
1527,rates might spike,5
1415,please remember folks,5
2404,week make lost,5
782,go back uk,5
1803,schools may remain,5
803,govt total control,5
1971,signatory letter warned,5
802,govt thank much,5
2336,us govt thank,5
1557,remain closed september,5
919,inform plans reopening,5
1795,schools inform plans,5
107,back uk govt,5
1792,schools go back,5
2416,wellbeing young people,5
1143,mental health support,5
1812,schools opened prematurely,5
1284,official mufc donating,5
408,could need work,5
799,govt course scottish,5
807,grants mental health,5
1105,make lost learning,5
1409,plans reopening schools,5
1825,schools receive mulive,5
2141,teachers could need,5
2143,teachers financial grants,5
1153,might spike schools,5
728,found teachers could,5
2105,supported five tests,5
726,forget teachers financial,5
292,closures must forget,5
86,ase running series,5
1381,per week make,5
2015,spike schools opened,5
1758,schools ase running,5
598,education settings dont,5
1259,nicola sturgeon says,5
2264,two additional hours,5
326,cope new challenges,5
1123,may help scied,5
1773,schools coronavirus pandemic,5
2273,uk govt course,5
1348,parentkind used ncpta,5
1942,september coronavirus second,5
1897,scottish govt announce,5
1898,scottish govt total,5
1695,running series online,5
2040,still absent around,5
1346,parentkind parentkind used,5
1253,nhs education devolved,5
2183,tests wrote jointly,5
1379,people school closures,5
2184,thank much parentkind,5
1068,local schools coronavirus,5
1686,robert jenrick says,5
1229,new challenges find,5
1910,second wave fears,5
512,devolved holyrood please,5
1606,reopening ni schools,5
2226,today parentkind parentkind,5
951,jacquie white utu_edu,5
2024,staff nonresidential education,5
952,jenrick says government,5
